id,title,popularity,tags
1452,Superman Returns,57.925623,"Superman Returns Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel. Adventure Fantasy Action Science Fiction saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey Frank Langella Sam Huntington Eva Marie Saint Marlon Brando Kal Penn Tristan Lake Leabu David Fabrizio Ian Roberts Vincent Stone Jack Larson Noel Neill Keegan Joyce Jordana Beatty Bryan Singer"
10764,Quantum of Solace,107.928811,"Quantum of Solace Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined. Adventure Action Thriller Crime killing undercover secret agent british secret service Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini Gemma Arterton Jeffrey Wright David Harbour Jesper Christensen Anatole Taubman Rory Kinnear Tim Pigott-Smith Joaquín Cosio Glenn Foster Paul Ritter Stana Katic Lucrezia Lante della Rovere Neil Jackson Oona Chaplin Rachel McDowall Gustavo Nanez Mark Wakeling Sarah Hadland David Decio Aaron King Alexandra Prusa Brandon Jovanovich Alexandre Krawetz Fernando Guillén Cuervo Jesús Ochoa Simon Kassianides Brendan O'Hea Marc Forster"
58,Pirates of the Caribbean: Dead Man's Chest,145.847379,"Pirates of the Caribbean: Dead Man's Chest Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation. Adventure Fantasy Action witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsgård Bill Nighy Jack Davenport Kevin McNally Jonathan Pryce Lee Arenberg Mackenzie Crook Tom Hollander Naomie Harris David Bailie Martin Klebba David Schofield Alex Norton Geoffrey Rush Dermot Keaney Andy Beckwith Clive Ashborn Reggie Lee Christopher Adamson Jonathan Linsley John Boswall Max Baker Steve Speirs Lauren Maher Vanessa Branch Luke de Woolfson Jonathan Kite Ho-Kwan Tse Peter Donald Badalamenti II Christopher S. Capp Gore Verbinski"
57201,The Lone Ranger,49.046956,"The Lone Ranger The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice. Action Adventure Western texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale Tom Wilkinson Ruth Wilson Barry Pepper James Frain Mason Cook Matt O'Leary Leon Rippy Harry Treadaway Damon Herriman W. Earl Brown Gil Birmingham Saginaw Grant Stephen Brodie Matthew Page Nick W. Nicholson Bryant Prince JD Cullum Joaquín Cosio Timothy V. Murphy Damon Carney Kevin Wiggins Chad Brummett Robert Baker Lew Temple Stephen Root Randy Oglesby Brad Greenquist Rance Howard Leonard Earl Howze Travis Hammer Steve Corona Jack Axelrod Christopher Hagen Freda Foh Shen Margaret Bowman Luz P. Mendez Laina Loucks Devon J. Adams Desirae Anslover Charlotte Cormier Megan Pribyl Briana Van Schuyver Julie Stracener Chad Randall Jason E. Hill Beth Bailey Joanne Camp Bob Rumnock Tait Fletcher Alex Knight Argos MacCallum Pokey Lafarge Joey Glynn Adam Hoskins Ryan Koenig Gore Verbinski"
49521,Man of Steel,99.398009,"Man of Steel A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind. Action Adventure Fantasy Science Fiction saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane Russell Crowe Laurence Fishburne Antje Traue Christopher Meloni Jadin Gould Tahmoh Penikett Ayelet Zurer Richard Schiff Dylan Sprayberry Michael Kelly Carla Gugino Richard Cetrone Mackenzie Gray Julian Richings Mary Black Samantha Jo Rebecca Buller Christina Wren David Lewis Doug Abrahams Brad Kelly Alessandro Juliani Jack Foley Robert Gerdisch Harry Lennix Jacqueline Scislowski Sean Campbell Raj Lal Zack Snyder"
2454,The Chronicles of Narnia: Prince Caspian,53.978602,"The Chronicles of Narnia: Prince Caspian One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir. Adventure Family Fantasy based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley Sergio Castellitto Alicia Borrachero Peter Dinklage Warwick Davis Vincent Grass Pierfrancesco Favino Damián Alcázar Simón Andreu Predrag Bjelac Shane Rangi Cornell John Liam Neeson Ken Stott Tilda Swinton Eddie Izzard Klára Issová Andrew Adamson"
24428,The Avengers,144.448633,"The Avengers When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins! Science Fiction Action Adventure new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson Jeremy Renner Tom Hiddleston Clark Gregg Cobie Smulders Stellan Skarsgård Samuel L. Jackson Gwyneth Paltrow Paul Bettany Jenny Agutter Walter Perez Powers Boothe Stan Lee Arthur Darbinyan Donald Li Ashley Johnson Harry Dean Stanton Alicia Sixtos Dieter Riesle Jamie McShane Jeff Wolfe Jerzy Skolimowski Maximiliano Hernández Alexis Denisof James Eckhouse Enver Gjokaj Damion Poitier Tina Benko Kirill Nikiforov M'laah Kaur Singh Rashmi Rustagi Warren Kole Jesse Garcia Kenneth Tigar Josh Cowdery Katsumi Komatsu Yumiko Komatsu Momoko Komatsu Robert Clohessy Fernanda Toker Andrea Vecchio Robin Swoboda Brent McGee Michael Zhang William-Christopher Stephens Kelley Robins Romy Rosemont Pat Kiernan Thomas Roberts Jillian Morgese Catherine Anderson Ricardo Andres Logan Bennett Mayank Bhatter Sharita Bone Jason Botsford Mary Kate Campbell Gene N. Chavez Layla Cushman Robert Dean Rick Dremann Jeffrey Feingold Lou Ferrigno Rod Fielder Eric Frank Israel Hall Carmen Dee Harris Alexander Christopher Jones Mike Karban Demoine Kinney Andrew Knode Annette Lawless Kimberly J. Mahoney Todd Manes Jorge Mardel Tiffany Sander McKenzie Michael McMillan Sean Meehan Joti Nagra Holly Neelie Caleb Daniel Noal Joseph O'Brien Jeremy Orr Nate Paige Martin Palmer Maria Perossa Caleb Pieplow Alexander Daniel Pimentel Frank Powers Jaime Powers Brent Reichert Kelly Ruble Gina Sarno Robert B. Schneider IV Jeff Seich Christina Shaffer Alonda Shevette Douglas Slygh Colin Strause Robert P. Thitoff George Thomas Shane Thompson Jerry Lee Tucker Tai Urban Chris Vaina Sandra Weston Seth Zielicke Alex DeCourville Debbie Scaletta Andrea-Nichole Olivas Tina Grimm Joss Whedon"
1865,Pirates of the Caribbean: On Stranger Tides,135.413856,"Pirates of the Caribbean: On Stranger Tides Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past. Adventure Action Fantasy sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d Johnny Depp Penélope Cruz Ian McShane Kevin McNally Geoffrey Rush Sam Claflin Astrid Bergès-Frisbey Stephen Graham Greg Ellis Damian O'Hare Óscar Jaenada Richard Griffiths Keith Richards Gemma Ward Judi Dench Ian Mercer Robbie Kay Christopher Fairbank Yuki Matsuzaki Steve Evets Bronson Webb Derek Mears Deobia Oparei Sebastian Armesto Anton Lesser Roger Allam Paul Bazely Richard Thomson Danny Le Boyer Alan J. Utley-Moore Luke Roberts Emilia Jones Sanya Hughes LeJon Siegfried Peters Rob Marshall"
41154,Men in Black 3,52.035179,"Men in Black 3 Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind. Action Comedy Science Fiction time travel time machine alien fictional government agency seeing the future changing history Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson Jemaine Clement Nicole Scherzinger Alice Eve Bill Hader Michael Chernus David Rasche Keone Young Cayen Martin Mike Colter Mela Hudson Will Arnett Kelvin Davis Dan Bittner Barry Sonnenfeld"
122917,The Hobbit: The Battle of the Five Armies,120.965743,"The Hobbit: The Battle of the Five Armies Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands. Action Adventure Fantasy corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish William Kircher James Nesbitt Stephen Hunter Dean O'Gorman Aidan Turner John Callen Peter Hambleton Jed Brophy Mark Hadlow Adam Brown Orlando Bloom Evangeline Lilly Lee Pace Cate Blanchett Hugo Weaving Christopher Lee Ian Holm Mikael Persbrandt Sylvester McCoy Luke Evans Stephen Fry John Bell Ryan Gage Peggy Nesbitt Mary Nesbitt Manu Bennett John Tui Billy Connolly Benedict Cumberbatch Kelly Kilgour Sarah Peirse Nick Blake Simon London Conan Stevens Allan Smith Miranda Harcourt Thomasin McKenzie Peter Jackson"
